date_sample_collection;acari_20;data_type;id_sample;other_bfs;ab_araneae;araneae_01;araneae_05;diplura_20;diptera_01;id_level_1;id_level_2;id_level_3;isopoda_10;protura_20;diptera_l10;symphyla_20;ab_chilopoda;ab_diplopoda;chilopoda_10;chilopoda_20;country_code;diplopoda_10;diplopoda_20;hemiptera_01;opiliones_10;pauropoda_20;ab_coleoptera;ab_collembola;coleoptera_01;coleoptera_05;coleoptera_10;coleoptera_15;coleoptera_20;collembola_01;collembola_02;collembola_04;collembola_06;collembola_08;collembola_10;collembola_20;dermaptera_01;embioptera_10;palpigradi_20;psocoptera_01;ab_hymenoptera;coleoptera_l10;hymenoptera_01;hymenoptera_05;main_prog_name;precision_date;pseudoscorp_20;additional_name;hymenoptera_l10;thysanoptera_01;acari_number_taxa;id_sampling_point;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;list_of_other_bfs;enchytraeus_abundance;enchytreids_r_strategist_abundance;hymenoptera_number_taxa;ab_enchytreids_abundance;mesofauna_number_species;enchytreids_number_species;enchytreids_k_strategist_abundance
date:2013-06-05T00:00:00:yyyy-MM-dd;3100;;;1200;0;0;0;600;0;Caorle_4;NA;3;100;0;0;100;0;0;0;0;IT;0;0;0;0;0;0;2000;0;0;0;0;0;500;300;400;400;200;200;0;0;0;0;0;0;0;0;0;monaco;D;0;;0;0;;2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_3;F;NA;P;other holometabola;;;0;;;;
date:2013-06-10T00:00:00:yyyy-MM-dd;8300;;;3400;0;0;0;0;0;Fagna_4;NA;1;0;0;0;300;300;300;300;0;IT;0;300;100;0;0;500;3300;400;100;0;0;0;1200;500;500;0;500;500;100;0;0;0;0;0;200;0;0;monaco;D;0;;0;0;;2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_1;F;NA;P;other holometabola;;;0;;;;
date:2013-06-10T00:00:00:yyyy-MM-dd;4100;;;4500;0;0;0;0;0;Fagna_4;NA;2;0;0;0;0;100;0;100;0;IT;0;0;100;0;0;100;1100;0;100;0;0;0;100;100;0;300;500;100;0;0;0;0;100;0;0;0;0;monaco;D;0;;0;0;;2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_2;F;NA;P;other holometabola;;;0;;;;
date:2013-06-10T00:00:00:yyyy-MM-dd;2400;;;2100;0;0;0;0;0;Fagna_4;NA;3;0;0;0;0;0;0;0;0;IT;0;0;100;0;0;100;1400;0;100;0;0;0;600;0;200;200;100;300;0;0;0;0;0;0;200;0;0;monaco;D;0;;0;0;;2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_3;F;NA;P;other holometabola;;;0;;;;
date:2001-10-08T00:00:00:yyyy-MM-dd;-99;;;-99;0;0;0;-99;0;Stuard;NA;1;0;0;-99;0;0;0;0;0;IT;0;0;0;0;0;0;NA;NA;NA;NA;-99;0;-99;0;0;0;0;0;0;0;0;0;0;0;0;-99;0;na;D;0;;0;0;;2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_1;F;NA;P;larvae of other olometabola;;;NA;;;;
date:2001-10-08T00:00:00:yyyy-MM-dd;-99;;;-99;0;0;0;-99;0;Stuard;NA;2;0;0;-99;0;;0;0;0;IT;0;0;0;0;0;0;NA;NA;-99;0;0;0;NA;NA;-99;0;0;0;0;0;0;0;0;0;0;0;0;na;D;0;;0;0;;2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_2;F;NA;P;larvae of other olometabola;;;0;10;;;
date:2001-10-08T00:00:00:yyyy-MM-dd;-99;;;-99;0;0;0;0;0;Stuard;NA;3;0;0;-99;0;0;0;0;0;IT;0;0;0;0;0;0;NA;NA;NA;NA;-99;0;NA;-99;0;0;0;0;0;0;0;0;0;0;0;0;0;na;D;0;;0;0;;2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_3;F;NA;P;larvae of other olometabola;;;0;10;;;
date:2003-04-16T00:00:00:yyyy-MM-dd;-99;;;-99;0;0;0;-99;0;cesa;NA;NA;0;0;0;-99;0;0;0;0;IT;0;0;0;0;0;0;NA;-99;0;0;0;0;0;0;0;0;0;-99;0;0;0;0;0;0;-99;0;0;na;D;0;;0;0;;2003-04-16_D_IT_NA_F_cesa_NA_NA_NA_NA;F;NA;NA;other holometabola;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;400;;;0;0;0;0;0;0;IT_ACQUAESOLE_1;NA;1;0;0;0;0;0;0;0;0;IT;0;0;0;0;0;200;200;NA;-99;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;0;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_1;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;6100;;;0;0;0;0;0;0;IT_ACQUAESOLE_1;NA;2;0;0;200;0;100;0;-99;0;IT;0;0;0;0;0;200;3200;-99;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_2;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;3800;Data Mesofauna;;0;0;0;0;0;0;IT_ACQUAESOLE_1;NA;3;0;0;100;0;0;0;0;0;IT;0;0;0;0;0;300;4700;NA;-99;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_3;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;4000;Data Mesofauna;;0;0;0;0;0;0;IT_ACQUAESOLE_2;NA;1;0;0;200;0;0;0;0;0;IT;0;0;0;0;0;100;300;NA;-99;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;700;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_1;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;400;Data Mesofauna;;0;0;0;0;0;0;IT_ACQUAESOLE_2;NA;2;0;0;100;0;0;0;0;0;IT;0;0;100;0;0;200;1200;NA;-99;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_2;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;2700;Data Mesofauna;;0;0;0;0;0;0;IT_ACQUAESOLE_2;NA;3;0;0;100;0;0;0;0;0;IT;0;0;0;0;0;0;400;0;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;600;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_3;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;5900;Data Mesofauna;;0;1000;NA;-99;0;0;IT_ACQUAESOLE_3;NA;1;0;0;300;0;0;0;0;0;IT;0;0;0;0;0;300;4300;-99;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_1;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;18100;Data Mesofauna;;0;400;NA;-99;0;0;IT_ACQUAESOLE_3;NA;2;0;0;0;0;200;0;NA;-99;IT;0;0;0;0;0;500;4700;-99;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;200;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_2;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;3100;Data Mesofauna;;0;0;0;0;0;0;IT_ACQUAESOLE_3;NA;3;0;0;0;0;0;0;0;0;IT;0;0;0;0;0;100;1000;-99;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_3;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;11000;Data Mesofauna;;0;0;0;0;0;0;IT_ACQUAESOLE_4;NA;1;0;0;1900;0;0;0;0;0;IT;0;0;0;0;0;300;11700;-99;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_1;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;6800;Data Mesofauna;;0;100;-99;0;0;0;IT_ACQUAESOLE_4;NA;2;0;0;1400;0;0;0;0;0;IT;0;0;0;0;0;100;15100;-99;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;100;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_2;F;NA;P;;;;0;;;;
date:2018-10-22T00:00:00:yyyy-MM-dd;14500;Data Mesofauna;;0;100;-99;0;0;0;IT_ACQUAESOLE_4;NA;3;0;0;200;0;0;0;0;0;IT;0;0;100;0;0;100;5900;-99;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;400;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_3;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;5000;Data Mesofauna;;0;0;0;0;0;0;IT_ACQUAESOLE_1;NA;1;0;0;900;0;0;0;0;0;IT;0;0;0;0;0;0;1600;0;0;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;100;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_1;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;7300;Data Mesofauna;;0;0;0;0;0;0;IT_ACQUAESOLE_1;NA;2;0;0;1000;0;0;0;0;0;IT;0;0;0;0;0;0;3700;0;0;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;500;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_2;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;1000;Data Mesofauna;;0;0;0;0;0;0;IT_ACQUAESOLE_1;NA;3;0;0;1300;0;0;0;0;0;IT;0;0;0;0;0;0;1500;0;0;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;200;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_3;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;2100;Data Mesofauna;;0;400;NA;-99;0;0;IT_ACQUAESOLE_2;NA;1;0;0;1200;0;0;0;0;0;IT;0;0;100;0;0;0;7400;0;0;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;500;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_1;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;1300;Data Mesofauna;;200;0;0;0;0;0;IT_ACQUAESOLE_2;NA;2;0;100;1600;0;0;0;0;0;IT;0;0;0;0;0;0;5400;0;0;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;600;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_2;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;400;Data Mesofauna;;100;100;-99;0;0;0;IT_ACQUAESOLE_2;NA;3;0;0;1500;0;0;0;0;0;IT;0;0;0;0;0;100;1700;-99;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;200;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_3;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;900;Data Mesofauna;;0;100;NA;-99;0;0;IT_ACQUAESOLE_3;NA;1;0;0;500;0;0;0;0;0;IT;0;0;0;0;0;0;3000;0;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;3800;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_1;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;600;Data Mesofauna;;0;0;0;0;0;0;IT_ACQUAESOLE_3;NA;2;0;0;600;0;0;0;0;0;IT;0;0;0;0;0;200;700;-99;0;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;1000;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_2;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;800;Data Mesofauna;;100;0;0;0;0;0;IT_ACQUAESOLE_3;NA;3;0;0;1300;0;0;0;0;0;IT;0;0;0;0;0;100;1100;NA;-99;0;0;0;NA;NA;NA;NA;NA;NA;-99;0;0;0;0;0;1700;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_3;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;2300;Data Mesofauna;;0;100;NA;-99;0;0;IT_ACQUAESOLE_4;NA;1;0;0;900;0;0;0;0;0;IT;0;0;100;0;0;300;400;-99;0;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;2600;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_1;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;1300;Data Mesofauna;;0;200;NA;-99;0;0;IT_ACQUAESOLE_4;NA;2;0;0;800;0;0;0;0;0;IT;0;0;100;0;0;100;600;NA;NA;-99;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;800;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_2;F;NA;P;;;;0;;;;
date:2018-04-26T00:00:00:yyyy-MM-dd;1000;Data Mesofauna;;0;200;NA;-99;0;0;IT_ACQUAESOLE_4;NA;3;0;0;200;0;0;0;0;0;IT;0;0;0;0;0;0;500;0;0;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;0;500;0;0;acquaAMPERSANDsole;D;0;;0;0;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_3;F;NA;P;;;;0;;;;
date:2019-09-20T00:00:00:yyyy-MM-dd;56700;Data Mesofauna;;0;900;NA;-99;0;0;LOV_1;NA;1;0;0;100;0;0;0;0;0;IT;0;0;800;0;0;100;1400;0;100;0;0;0;NA;NA;NA;NA;NA;NA;300;0;0;0;0;0;1700;0;0;soil4life;D;0;;0;200;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_1;F;NA;P;;;;0;;;;
date:2019-09-20T00:00:00:yyyy-MM-dd;40700;Data Mesofauna;;1300;0;0;0;0;0;LOV_1;NA;2;0;0;1000;0;0;0;0;0;IT;0;0;300;0;0;200;200;NA;-99;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;1100;4100;NA;-99;soil4life;D;0;;0;0;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_2;F;NA;P;;;;NA;;;;
date:2019-09-20T00:00:00:yyyy-MM-dd;18500;Data Mesofauna;;0;200;NA;-99;0;0;LOV_1;NA;3;0;0;600;0;0;0;0;0;IT;0;0;700;0;0;100;200;0;100;0;0;0;NA;NA;NA;NA;NA;-99;0;0;0;0;0;200;800;NA;-99;soil4life;D;0;;0;600;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_3;F;NA;P;;;;NA;;;;
date:2019-09-20T00:00:00:yyyy-MM-dd;6700;Data Mesofauna;;0;100;NA;-99;0;0;LOV_2;NA;1;0;0;100;200;400;0;0;400;IT;0;0;0;0;0;0;5900;0;0;0;0;0;NA;NA;NA;NA;NA;NA;200;0;0;0;100;0;0;0;0;soil4life;D;0;;0;0;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_1;F;NA;P;;;;0;;;;
date:2019-09-20T00:00:00:yyyy-MM-dd;22700;Data Mesofauna;;200;600;NA;-99;0;0;LOV_2;NA;2;0;100;0;0;1200;0;400;800;IT;0;0;1100;0;0;300;21800;NA;-99;0;0;0;NA;NA;NA;NA;NA;NA;1100;0;0;0;0;200;300;NA;-99;soil4life;D;0;;0;0;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_2;F;NA;P;;;;NA;;;;
date:2019-09-20T00:00:00:yyyy-MM-dd;87200;Data Mesofauna;;100;700;NA;-99;0;0;LOV_2;NA;3;0;0;300;0;2400;0;400;2000;IT;0;0;300;0;0;1000;72000;NA;-99;0;0;0;NA;NA;NA;NA;NA;NA;200;0;0;0;0;0;800;0;0;soil4life;D;0;;0;0;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_3;F;NA;P;;;;0;;;;
date:2019-09-20T00:00:00:yyyy-MM-dd;12300;Data Mesofauna;;0;0;0;0;0;0;LOV_3;NA;1;0;0;700;0;100;0;0;100;IT;0;0;100;0;0;0;18500;0;0;0;0;0;NA;NA;NA;NA;NA;NA;4100;0;0;0;0;0;100;0;0;soil4life;D;0;;0;100;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_1;F;NA;P;;;;0;;;;
