extraction_method;date_sample_collect;precision_date;id_level_1;id_level_2;id_level_3;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;main_prog_name;additional_name;data_type;id_sample;type_data;assay_scope;country_code;sampling_method;id_sampling_point;sampling_reference;extraction_duration;extraction_mesh_size;extraction_reference;extraction_soil_weight;sampled_area_for_each_subsample
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_4;NA;1;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_4;NA;2;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_4;NA;3;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_1;NA;1;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_1;NA;2;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_1;NA;3;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_2;NA;1;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_2;NA;2;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_2;NA;3;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_3;NA;1;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_3;NA;2;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_3;NA;3;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_4;NA;1;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_4;NA;2;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_4;NA;3;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_1;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_1;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_1;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_2;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_2;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_2;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_3;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_3;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_3;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_4;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_4;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;LOV_4;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;PED_1;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_PED_1_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;PED_1;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_PED_1_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;PED_1;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_PED_1_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;PED_2;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_PED_2_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;PED_2;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_PED_2_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;PED_2;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_PED_2_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;PED_3;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_PED_3_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;PED_3;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_PED_3_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;PED_3;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_PED_3_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;PED_4;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_PED_4_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;PED_4;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_PED_4_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;PED_4;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_PED_4_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;NEO_1;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_NEO_1_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;NEO_1;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_NEO_1_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;NEO_1;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_NEO_1_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;NEO_2;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_NEO_2_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;NEO_2;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_NEO_2_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2019-09-20T00:00:00:yyyy-MM-dd;D;NEO_2;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2019-09-20_D_IT_SOIL4LIFE_F_NEO_2_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;NEO_3;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_NEO_3_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;NEO_3;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_NEO_3_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;NEO_3;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_NEO_3_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;NEO_4;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_NEO_4_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;NEO_4;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_NEO_4_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;NEO_4;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_NEO_4_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_1;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_1_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_1;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_1_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_1;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_1_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_2;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_2_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_2;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_2_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_2;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_2_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_3;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_3_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_3;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_3_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_3;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_3_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_4;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_4_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_4;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_4_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2020-10-20T00:00:00:yyyy-MM-dd;D;COL_4;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2020-10-20_D_IT_SOIL4LIFE_F_COL_4_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2021-04-24T00:00:00:yyyy-MM-dd;D;LOV_1;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2021-04-24_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2021-04-24T00:00:00:yyyy-MM-dd;D;LOV_1;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2021-04-24_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2021-04-24T00:00:00:yyyy-MM-dd;D;LOV_1;NA;3;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2021-04-24_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2021-04-24T00:00:00:yyyy-MM-dd;D;LOV_2;NA;1;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2021-04-24_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2021-04-24T00:00:00:yyyy-MM-dd;D;LOV_2;NA;2;F;NA;P;soil4life;;;;presence/absence data;the entire community;IT;;2021-04-24_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_2;;;2;;;
