id_sampling_point;date_sample_collection;precision_date;id_level_1;level_1_scale_obs;id_level_2;level_2_scale_obs;id_level_3;level_3_scale_obs;id_sample;data_type;country_code;main_prog_name;additional_name;total_nem_biomass;ab_fungivores;ab_herbivores;ab_Total_nematodes;nematode_family_richness;nematode_genera_richness;ab_bacterivores;ei;mi;mi2-5;nematods_si;ab_omnivores;ab_predators;ab_unident;microfauna_extraction_method;microfauna_sampling_methodology_iso;microfauna_sampling_observation_method;asmicrofauna_sampled_area_for_each_subsample;date_soil_sampling_for_chemical_analysis;type_of_the_sample;soil_type_wrb;wrb_version;soil_taxonomy_version;soil_type_in_soil_taxonomy;name_local_soil_classification;soil_type_in_a_local_classification;ph_method;ph_mean;cec_mean;caco3;texture;texture_triangle;sand;sand_limit;silt;silt_limit;clay_limit;bottom_depth_of_top_layer;carbon_azote_ratio_mean;soc_mean;som_mean;soil_sample_depth;bulk_density;soil_analysis_sample_mass;soil_humidity;soil_total_depth;phosphorus_total;phosphorus_available;potassium_available;nitrogen;organic_carbon;crop_1;crop_2;crop_3;crop_rotation;irrigat_water;tillage_depth;farming_system;grazing_method;tillage_method;tillage_season;tillage_system;type_main_crop;cropping_system;drainage_system;fertilizer_type;irrigation_type;livestock_breed;fertilization_method;insect_appli_rate;pest_control_type;landuse_1_year_ago;landuse_3_year_ago;landuse_4_year_ago;landuse_2_years_ago;landuse_5_years_ago;landuse_6_years_ago;miticide_appli_rate;total_plant_biomass;fungicide_appli_rate;herbicide_appli_rate;insect_pest_control_method;organic_matter_input;pest_control_method_microbioconsortia;nematicide_appli_rate;organic_matter_amount;bactericide_appli_rate;yield_of_sampling_year;fungicide_pest_control_method;herbicide_pest_control_method;molluscicide_appli_rate;nematicide_pest_control_method;pheromones_pest_control_method;single_inoculant_pest_control_method;bactericide_pest_control_method;molluscicid_pest_control_method;number_of_husbandry_animals;pest_control_metthod_miticide;soilsolariz_pest_control_method;publication_year;project_acronym;project_name;contributor_name;contributor_email;contributor_instit;data_owner;dataset_title;literature_title;doi;journal_name;book_title;source_type;volume_number;scale_project;spacial_level;upload_to_gbif;upload_to_other_databases;link_to_ncbi_or_other_database;date_start_experiment;date_end_experiment;longitude;latitude;altitude;study_landuse;experimental_type;total_experiment_duration;experiment_duration_mean;mean_temperature_of_the_day;source_of_climate_data;year_precipitation;air_humidity
1974-07-01-M_GB_Ordnance survey_F-11_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;11;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-11_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;435;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;5.2;;;loamy_sand;;82.0;;12.0;;;;;;;15.0;;;10;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-5.479024;56.46909;9.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-12_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;12;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-12_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;465;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;5.2;;;loamy_sand;;84.0;;12.0;;;;;;;15.0;;;50;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-5.437459;56.368656;5.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-13_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;13;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-13_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;390;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;;;;loamy_sand;;80.0;;14.0;;;;;;;15.0;;;31;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-5.5068717;56.33075;48.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-14_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;14;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-14_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;280;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;;;;loamy_sand;;84.0;;10.0;;;;;;;15.0;;;29;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-5.4636707;56.3005;130.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-15_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;15;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-15_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;1050;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;;;;loamy_sand;;82.0;;12.0;;;;;;;15.0;;;40;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-5.55469;56.235878;57.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-16_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;16;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-16_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;1750;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;4.2;;;loamy_sand;;84.0;;14.0;;;;;;;15.0;;;31;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-5.55469;56.235878;57.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-17_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;17;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-17_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;515;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;3.3;;;loamy_sand;;76.0;;18.0;;;;;;;15.0;;;57;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-5.5626826;56.16552;6.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-18_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;18;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-18_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;1375;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;4.3;;;loamy_sand;;86.0;;12.0;;;;;;;15.0;;;40;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-5.518291;56.191067;9.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-19_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;19;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-19_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;50;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;;;;na;;;;;;;;;;;15.0;;;88;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-5.517056;56.089504;8.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-20_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;20;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-20_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;770;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;5.9;;;loamy_sand;;86.0;;8.0;;;;;;;15.0;;;13;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-3.1583176;55.96975;9.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-21_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;21;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-21_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;175;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;;;;na;;;;;;;;;;;15.0;;;NA;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-3.0565953;55.94101;8.0;grass_land;field;0;;;;;
