data_type;id_sample;id_level_1;id_level_2;id_level_3;fauna_taxon;country_code;higher_taxon;main_prog_name;precision_date;additional_name;fauna_abundance;fauna_occurrence;id_sampling_point;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;date_sample_collection;fauna_unit_of_abundance
Data mesofauna;;gas_f;NA;2;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_gas_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;gas_f;NA;3;Achaeta bohemica (Vejdovsk�, 1879);FR;Enchytraeida;ofb_dynabio;Y;;3058.56;1;2021-01-01_Y_FR_OFB_DYNABIO_T_gas_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;gas_f;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;3058.56;1;2021-01-01_Y_FR_OFB_DYNABIO_T_gas_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;gas_f;NA;3;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;4078.08;1;2021-01-01_Y_FR_OFB_DYNABIO_T_gas_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;gas_c;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;3568.32;1;2021-01-01_Y_FR_OFB_DYNABIO_T_gas_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;gas_c;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;5607.36;1;2021-01-01_Y_FR_OFB_DYNABIO_T_gas_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;gas_c;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;8665.92;1;2021-01-01_Y_FR_OFB_DYNABIO_T_gas_c_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;germainville_f;NA;1;Fridericia connatiformis D�zsa-Farkas, 2015;FR;Enchytraeida;ofb_dynabio;Y;;5607.36;1;2021-01-01_Y_FR_OFB_DYNABIO_T_germainville_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;germainville_f;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2039.04;1;2021-01-01_Y_FR_OFB_DYNABIO_T_germainville_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;germainville_f;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_germainville_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;germainville_f;NA;3;Fridericia connatiformis D�zsa-Farkas, 2015;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_germainville_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;germainville_c;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_germainville_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;germainville_c;NA;1;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;4587.84;1;2021-01-01_Y_FR_OFB_DYNABIO_T_germainville_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;germainville_c;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;1529.28;1;2021-01-01_Y_FR_OFB_DYNABIO_T_germainville_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;germainville_c;NA;2;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_germainville_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;germainville_c;NA;3;Fridericia connatiformis D�zsa-Farkas, 2015;FR;Enchytraeida;ofb_dynabio;Y;;1019.52;1;2021-01-01_Y_FR_OFB_DYNABIO_T_germainville_c_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;levesville_f;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;17841.6;1;2021-01-01_Y_FR_OFB_DYNABIO_T_levesville_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;levesville_f;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;16822.08;1;2021-01-01_Y_FR_OFB_DYNABIO_T_levesville_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;levesville_f;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_levesville_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;levesville_c;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;15292.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_levesville_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;levesville_c;NA;1;Fridericia connatiformis D�zsa-Farkas, 2015;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_levesville_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;levesville_c;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;10704.96;1;2021-01-01_Y_FR_OFB_DYNABIO_T_levesville_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;levesville_c;NA;2;Fridericia connatiformis D�zsa-Farkas, 2015;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_levesville_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;levesville_c;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;9175.68;1;2021-01-01_Y_FR_OFB_DYNABIO_T_levesville_c_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;levesville_c;NA;3;Fridericia connatiformis D�zsa-Farkas, 2015;FR;Enchytraeida;ofb_dynabio;Y;;1019.52;1;2021-01-01_Y_FR_OFB_DYNABIO_T_levesville_c_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;mespuits_f;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;1019.52;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mespuits_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;mespuits_f;NA;1;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mespuits_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;mespuits_f;NA;1;Fridericia rendsinata D�zsa-Farkas, 1972;FR;Enchytraeida;ofb_dynabio;Y;;1529.28;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mespuits_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;mespuits_f;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mespuits_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;mespuits_f;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2039.04;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mespuits_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;mespuits_f;NA;3;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;3058.56;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mespuits_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;mespuits_f;NA;3;Fridericia rendsinata D�zsa-Farkas, 1972;FR;Enchytraeida;ofb_dynabio;Y;;1529.28;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mespuits_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;mespuits_c;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;1019.52;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mespuits_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;mezieres_f;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mezieres_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;mezieres_f;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mezieres_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;mezieres_f;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;8156.16;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mezieres_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;mezieres_c;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2039.04;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mezieres_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;mezieres_c;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2039.04;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mezieres_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;mezieres_c;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;7136.64;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mezieres_c_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;mondreville_f;NA;1;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mondreville_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;mondreville_f;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2039.04;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mondreville_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;mondreville_f;NA;2;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mondreville_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;mondreville_f;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;1529.28;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mondreville_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;mondreville_c;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_mondreville_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;serville_f;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_serville_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;serville_f;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_serville_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;serville_f;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;1019.52;1;2021-01-01_Y_FR_OFB_DYNABIO_T_serville_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;serville_c;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;9685.44;1;2021-01-01_Y_FR_OFB_DYNABIO_T_serville_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;serville_c;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;6117.12;1;2021-01-01_Y_FR_OFB_DYNABIO_T_serville_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;serville_c;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;8665.92;1;2021-01-01_Y_FR_OFB_DYNABIO_T_serville_c_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_f;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_f;NA;1;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;7136.64;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_f;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;18861.12;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_f;NA;2;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;6626.88;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_f;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;11214.72;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_f;NA;3;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;10704.96;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_f;NA;3;Marionina hoffbaueri M�ller, 1971;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_c;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_c;NA;1;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;6117.12;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_c;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2039.04;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_c;NA;2;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;10704.96;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_c;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;5097.6;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_c_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;yermenonville_c;NA;3;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;1529.28;1;2021-01-01_Y_FR_OFB_DYNABIO_T_yermenonville_c_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;lusignan_C;1;1;Enchytraeus bulbosus Nielsen & Christensen, 1963;FR;Enchytraeida;anr_soilwarm;Y;;1018;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_1;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;1;Fridericia bulboides Nielsen & Christensen, 1959;FR;Enchytraeida;anr_soilwarm;Y;;0;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_1;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;1;Fridericia indet;FR;Enchytraeida;anr_soilwarm;Y;;1018;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_1;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;1;Henlea perpusilla Friend, 1911;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_1;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;2;Enchytraeus buchholzi Vejdovský, 1878;FR;Enchytraeida;anr_soilwarm;Y;;1018;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_2;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;2;Enchytraeus bulbosus Nielsen & Christensen, 1963;FR;Enchytraeida;anr_soilwarm;Y;;1018;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_2;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;2;Fridericia bisetosa (Levinsen, 1884);FR;Enchytraeida;anr_soilwarm;Y;;509;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_2;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;2;Fridericia sylvatica Healy, 1979;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_2;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;2;Fridericia spA melu;FR;Enchytraeida;anr_soilwarm;Y;;1527;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_2;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;2;Fridericia indet;FR;Enchytraeida;anr_soilwarm;Y;;3054;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_2;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;2;Henlea perpusilla Friend, 1911;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_2;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;3;Enchytraeus bulbosus Nielsen & Christensen, 1963;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_3;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;3;Fridericia christeri Rota & Healy, 1999;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_3;T;block;P;NULL;n-m²
Data mesofauna;;lusignan_C;1;3;Fridericia connata Bretscher, 1902;FR;Enchytraeida;anr_soilwarm;Y;;1018;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_3;T;block;P;NULL;n-m²
