id_sampling_point;date_sample_collection;precision_date;id_sample;id_level_1;level_1_scale_obs;id_level_2;level_2_scale_obs;id_level_3;level_3_scale_obs;country_code;main_prog_name;additional_name;data_type;type_of_sample;taxon;ecological_group;biomass;abundance
2019-01-01-NA_AT_SECBIVIT_F-ACDc13_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc13_B-NA_P-2_Data Macrofauna;ACDc13;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc13_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc13_B-NA_P-3_Data Macrofauna;ACDc13;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc13_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc13_B-NA_P-3_Data Macrofauna;ACDc13;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc16_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc16_B-NA_P-1_Data Macrofauna;ACDc16;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-1_Data Macrofauna;ACDc2;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-1_Data Macrofauna;ACDc2;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Allolobophora chlorotica;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-2_Data Macrofauna;ACDc2;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-2_Data Macrofauna;ACDc2;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Allolobophora chlorotica;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-2_Data Macrofauna;ACDc2;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc2_B-NA_P-3_Data Macrofauna;ACDc2;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Allolobophora chlorotica;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc3_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc3_B-NA_P-1_Data Macrofauna;ACDc3;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-2_Data Macrofauna;ACDc4;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-2_Data Macrofauna;ACDc4;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea rosea;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-2_Data Macrofauna;ACDc4;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-3_Data Macrofauna;ACDc4;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-3_Data Macrofauna;ACDc4;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Aporrectodea rosea;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc4_B-NA_P-3_Data Macrofauna;ACDc4;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-1_Data Macrofauna;ACLc11;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-1_Data Macrofauna;ACLc11;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Proctodrilus antipai;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-2_Data Macrofauna;ACLc11;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-2_Data Macrofauna;ACLc11;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-2_Data Macrofauna;ACLc11;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Proctodrilus antipai;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-3_Data Macrofauna;ACLc11;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-3_Data Macrofauna;ACLc11;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc11_B-NA_P-3_Data Macrofauna;ACLc11;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Proctodrilus antipai;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc12_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc12_B-NA_P-1_Data Macrofauna;ACLc12;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc12_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc12_B-NA_P-2_Data Macrofauna;ACLc12;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea rosea;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc12_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc12_B-NA_P-3_Data Macrofauna;ACLc12;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Proctodrilus antipai;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc15_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc15_B-NA_P-1_Data Macrofauna;ACLc15;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc15_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc15_B-NA_P-2_Data Macrofauna;ACLc15;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc15_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc15_B-NA_P-2_Data Macrofauna;ACLc15;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea rosea;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc15_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc15_B-NA_P-2_Data Macrofauna;ACLc15;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc15_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc15_B-NA_P-3_Data Macrofauna;ACLc15;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Aporrectodea rosea;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-1_Data Macrofauna;ACLc5;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-1_Data Macrofauna;ACLc5;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Allolobophora chlorotica;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-1_Data Macrofauna;ACLc5;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-2_Data Macrofauna;ACLc5;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea rosea;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-2_Data Macrofauna;ACLc5;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-3_Data Macrofauna;ACLc5;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-3_Data Macrofauna;ACLc5;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc5_B-NA_P-1_Data Macrofauna;ACLc5;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;;;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc6_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc6_B-NA_P-2_Data Macrofauna;ACLc6;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Fitzingeria platyura;epi-anecic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc6_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc6_B-NA_P-3_Data Macrofauna;ACLc6;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Fitzingeria platyura;epi-anecic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-1_Data Macrofauna;ACLc7;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-1_Data Macrofauna;ACLc7;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-2_Data Macrofauna;ACLc7;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-2_Data Macrofauna;ACLc7;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-3_Data Macrofauna;ACLc7;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc7_B-NA_P-3_Data Macrofauna;ACLc7;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-1_Data Macrofauna;ACLc9;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-1_Data Macrofauna;ACLc9;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Lumbricus terrestris;epi-anecic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-2_Data Macrofauna;ACLc9;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-2_Data Macrofauna;ACLc9;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-3_Data Macrofauna;ACLc9;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACLc9_B-NA_P-3_Data Macrofauna;ACLc9;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Lumbricus terrestris;epi-anecic;;
2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA_Data Macrofauna;LMO_C1;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Aporrectodea;;;1.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA_Data Macrofauna;LMO_C1;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Aporrectodea rosea;endogeic;;2.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA_Data Macrofauna;LMO_C1;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Proctodrilus tuberculatus;endogeic;;1.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA_Data Macrofauna;LMO_C1;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Lumbricus;;;12.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA_Data Macrofauna;LMO_C1;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Lumbricus terrestris;epi-anecic;;4.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA_Data Macrofauna;LMO_C1;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Octolasion lacteum;endogeic;;1.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA_Data Macrofauna;LMO_C1;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;indetermined;;;2.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA_Data Macrofauna;LMO_C2;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Aporrectodea;;;2.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA_Data Macrofauna;LMO_C2;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Aporrectodea rosea;endogeic;;2.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA_Data Macrofauna;LMO_C2;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Proctodrilus tuberculatus;endogeic;;2.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA_Data Macrofauna;LMO_C2;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Lumbricus;;;18.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA_Data Macrofauna;LMO_C2;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Octolasion;;;1.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA_Data Macrofauna;LMO_C3;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Aporrectodea;;;3.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA_Data Macrofauna;LMO_C3;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Proctodrilus tuberculatus;endogeic;;3.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA_Data Macrofauna;LMO_C3;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Lumbricus;;;15.0
2012-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;2012-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA_Data Macrofauna;LMO_C3;T;NA;B;NA;P;SI;ecofinders;;Data Macrofauna;;Lumbricus terrestris;epi-anecic;;1.0
