id_sampling_point;date_sample_collection;precision_date;id_level_1;level_1_scale_obs;id_level_2;level_2_scale_obs;id_level_3;level_3_scale_obs;id_sample;acari_20;data_type;country_code;main_prog_name;additional_name;other_bfs;ab_araneae;araneae_01;araneae_05;diplura_20;diptera_01;isopoda_10;protura_20;diptera_l10;symphyla_20;ab_chilopoda;ab_diplopoda;chilopoda_10;chilopoda_20;diplopoda_10;diplopoda_20;hemiptera_01;opiliones_10;pauropoda_20;ab_coleoptera;ab_collembola;coleoptera_01;coleoptera_05;coleoptera_10;coleoptera_15;coleoptera_20;collembola_01;collembola_02;collembola_04;collembola_06;collembola_08;collembola_10;collembola_20;dermaptera_01;embioptera_10;palpigradi_20;psocoptera_01;ab_hymenoptera;coleoptera_l10;hymenoptera_01;hymenoptera_05;pseudoscorp_20;hymenoptera_l10;hymenoptera_number_taxa;ab_enchytreids_abundance;mesofauna_number_species;enchytreids_number_species;enchytreids_k_strategist_abundance;enchytreids_r_strategist_abundance;thysanoptera_01;acari_number_taxa;list_of_other_bfs;type_of_the_sample;soil_type_wrb;wrb_version;soil_taxonomy_version;soil_type_in_soil_taxonomy;name_local_soil_classification;soil_type_in_a_local_classification;ph_method;ph_mean;cec_mean;caco3;texture;texture_triangle;sand;sand_limit;silt;silt_limit;clay_limit;bottom_depth_of_top_layer;carbon_azote_ratio_mean;soc_mean;som_mean;soil_sample_depth;bulk_density;soil_analysis_sample_mass;soil_humidity;soil_total_depth;phosphorus_total;landuse_1_year_ago;landuse_2_years_ago;landuse_3_year_ago;landuse_4_year_ago;landuse_5_years_ago;landuse_6_years_ago;crop_1;crop_2;crop_3;farming_system;tillage_method;tillage_season;tillage_system;type_main_crop;tillage_depth;publication_year;project_acronym;project_name;reference_to_programme;contributor_name;contributor_email;contributor_instit;data_owner;dataset_title;literature_title;doi;journal_name;book_title;source_type;volume_number;scale_project;spacial_level;study_landuse;experimental_type;total_experiment_duration;experiment_duration_mean;date_start_experiment;date_end_experiment
2005-01-01_Y_IT_Regional_monitoring_FVG_F_RADOVIC_S14_NA_NA_P_3;date:2005-01-01T00:00:00:yyyy-MM-dd;Y;RADOVIC_S14;F;NA;NA;3;P;;7900;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;200;NA;400;NA;1600;NA;0;0;0;0;NA;0;100;NA;NA;0;3400;0;0;0;0;0;NA;NA;NA;NA;NA;NA;3400;0;NA;NA;NA;4500;500;NA;4500;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;na;na;na;na;na;na;na;na;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;grass_land;;;;;
2005-05-25_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S1_NA_NA_P_1;date:2005-05-25T00:00:00:yyyy-MM-dd;D;DE BELLIS_S1;F;NA;NA;1;P;;20000;Data Mesofauna;IT;regional_monitoring_fvg;;0;100;100;NA;200;NA;200;200;400;2300;0;100;0;0;100;0;100;NA;100;0;5600;NA;NA;NA;0;0;NA;NA;NA;NA;NA;NA;5600;0;NA;NA;NA;400;1000;400;NA;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;no_crop;na;na;conventional_farming;na;na;na;na;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-05-25_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S1_NA_NA_P_2;date:2005-05-25T00:00:00:yyyy-MM-dd;D;DE BELLIS_S1;F;NA;NA;2;P;;20000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;200;NA;100;300;100;400;100;100;100;NA;NA;100;NA;NA;100;200;11300;NA;NA;200;0;0;NA;NA;NA;NA;NA;NA;11300;0;NA;NA;NA;400;200;400;NA;100;NA;NA;;;;;;100;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;no_crop;na;na;conventional_farming;na;na;na;na;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-05-25_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S1_NA_NA_P_3;date:2005-05-25T00:00:00:yyyy-MM-dd;D;DE BELLIS_S1;F;NA;NA;3;P;;8500;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;NA;NA;500;100;5500;2500;1300;200;NA;-99;200;0;NA;NA;400;400;5400;NA;NA;400;0;0;NA;NA;NA;NA;NA;NA;5400;0;NA;NA;NA;400;200;400;NA;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;no_crop;na;na;conventional_farming;na;na;na;na;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-05-25_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S2_NA_NA_P_1;date:2005-05-25T00:00:00:yyyy-MM-dd;D;DE BELLIS_S2;F;NA;NA;1;P;;600;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;NA;NA;NA;NA;NA;100;0;0;0;0;NA;0;NA;NA;NA;0;1100;0;0;0;0;0;NA;NA;NA;NA;NA;NA;1100;0;NA;NA;NA;100;0;NA;100;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;chinese_cabbage_brassica_rapa;na;na;conventional_farming;na;na;na;annual;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-05-25_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S2_NA_NA_P_2;date:2005-05-25T00:00:00:yyyy-MM-dd;D;DE BELLIS_S2;F;NA;NA;2;P;;1900;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;NA;NA;NA;NA;NA;300;0;600;0;0;NA;600;NA;NA;NA;0;2600;0;0;0;0;0;NA;NA;NA;NA;NA;NA;2600;0;NA;NA;NA;0;100;NA;NA;NA;NA;NA;;;;;;100;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;chinese_cabbage_brassica_rapa;na;na;conventional_farming;na;na;na;annual;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-05-25_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S2_NA_NA_P_3;date:2005-05-25T00:00:00:yyyy-MM-dd;D;DE BELLIS_S2;F;NA;NA;3;P;;2000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;NA;NA;NA;NA;2100;500;0;100;0;0;NA;100;NA;NA;NA;0;3900;0;0;0;0;0;NA;NA;NA;NA;NA;NA;3900;0;NA;NA;NA;500;100;NA;500;NA;NA;NA;;;;;;3500;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;chinese_cabbage_brassica_rapa;na;na;conventional_farming;na;na;na;annual;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-05-25_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S3_NA_NA_P_1;date:2005-05-25T00:00:00:yyyy-MM-dd;D;DE BELLIS_S3;F;NA;NA;1;P;;8100;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;NA;NA;100;NA;100;1400;1400;0;NA;-99;NA;0;NA;NA;NA;0;1500;0;0;0;0;0;NA;NA;NA;NA;NA;NA;1500;0;NA;NA;NA;6200;100;NA;6200;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;olive_olea_europaea;na;na;conventional_farming;na;na;na;perennial;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;permanent_crops;;;;;
2005-05-25_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S3_NA_NA_P_2;date:2005-05-25T00:00:00:yyyy-MM-dd;D;DE BELLIS_S3;F;NA;NA;2;P;;4100;Data Mesofauna;IT;regional_monitoring_fvg;;100;0;0;0;100;NA;100;NA;200;1700;400;0;NA;-99;NA;0;NA;NA;NA;0;6100;0;0;0;0;0;NA;NA;NA;NA;NA;NA;6100;0;NA;NA;NA;8000;100;NA;8000;NA;NA;NA;;;;;;NA;;Othoptera;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;olive_olea_europaea;na;na;conventional_farming;na;na;na;perennial;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;permanent_crops;;;;;
2005-05-25_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S3_NA_NA_P_3;date:2005-05-25T00:00:00:yyyy-MM-dd;D;DE BELLIS_S3;F;NA;NA;3;P;;1500;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;700;NA;200;NA;11800;900;400;0;NA;-99;NA;0;NA;NA;NA;0;3000;0;0;0;0;0;NA;NA;NA;NA;NA;NA;3000;0;NA;NA;NA;24100;100;NA;24100;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;olive_olea_europaea;na;na;conventional_farming;na;na;na;perennial;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;permanent_crops;;;;;
2005-05-26_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S4_NA_NA_P_1;date:2005-05-26T00:00:00:yyyy-MM-dd;D;DE BELLIS_S4;F;NA;NA;1;P;;5600;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;200;NA;NA;NA;100;300;100;0;100;NA;NA;0;NA;NA;NA;0;1200;0;0;0;0;0;NA;NA;NA;NA;NA;NA;1200;0;NA;NA;NA;100;900;NA;100;100;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;grape_vitis_vinifera;na;na;conventional_farming;na;na;na;perennial;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;permanent_crops;;;;;
2005-05-26_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S4_NA_NA_P_2;date:2005-05-26T00:00:00:yyyy-MM-dd;D;DE BELLIS_S4;F;NA;NA;2;P;;8000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;100;NA;NA;NA;NA;200;0;0;0;0;NA;0;NA;NA;NA;200;100;NA;NA;200;0;0;NA;NA;NA;NA;NA;NA;100;0;NA;NA;NA;0;100;NA;NA;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;grape_vitis_vinifera;na;na;conventional_farming;na;na;na;perennial;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;permanent_crops;;;;;
2005-05-26_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S4_NA_NA_P_3;date:2005-05-26T00:00:00:yyyy-MM-dd;D;DE BELLIS_S4;F;NA;NA;3;P;;1400;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;200;NA;NA;NA;NA;100;0;0;0;0;NA;0;NA;NA;NA;0;300;0;0;0;0;0;NA;NA;NA;NA;NA;NA;300;0;NA;NA;NA;400;0;NA;400;100;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;grape_vitis_vinifera;na;na;conventional_farming;na;na;na;perennial;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;permanent_crops;;;;;
2005-05-26_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S5_NA_NA_P_1;date:2005-05-26T00:00:00:yyyy-MM-dd;D;DE BELLIS_S5;F;NA;NA;1;P;;5400;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;300;NA;NA;NA;NA;300;100;0;100;NA;NA;0;NA;NA;NA;0;500;0;0;0;0;0;NA;NA;NA;NA;NA;NA;500;0;NA;NA;NA;100;500;NA;100;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;na;na;na;conventional_farming;na;na;na;perennial;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-05-26_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S5_NA_NA_P_2;date:2005-05-26T00:00:00:yyyy-MM-dd;D;DE BELLIS_S5;F;NA;NA;2;P;;2800;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;100;NA;NA;NA;100;300;100;0;NA;-99;NA;0;NA;NA;100;0;300;0;0;0;0;0;NA;NA;NA;NA;NA;NA;300;0;NA;NA;NA;600;0;NA;600;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;na;na;na;conventional_farming;na;na;na;perennial;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-05-26_D_IT_Regional_monitoring_FVG_F_DE BELLIS_S5_NA_NA_P_3;date:2005-05-26T00:00:00:yyyy-MM-dd;D;DE BELLIS_S5;F;NA;NA;3;P;;5000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;300;NA;NA;NA;NA;700;300;100;NA;-99;NA;100;NA;NA;NA;1100;700;NA;NA;1100;0;0;NA;NA;NA;NA;NA;NA;700;0;NA;NA;NA;300;NA;NA;300;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;na;na;na;conventional_farming;na;na;na;perennial;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-06-08_D_IT_Regional_monitoring_FVG_F_RADOVIC_S6_NA_NA_P_1;date:2005-06-08T00:00:00:yyyy-MM-dd;D;RADOVIC_S6;F;NA;NA;1;P;;3000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;2200;NA;500;NA;NA;500;500;0;NA;-99;NA;0;NA;NA;100;100;12000;NA;NA;100;0;0;NA;NA;NA;NA;NA;NA;12000;0;NA;NA;NA;0;400;NA;NA;800;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;no_crop;na;na;organic_farming;na;na;na;annual;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-06-08_D_IT_Regional_monitoring_FVG_F_RADOVIC_S6_NA_NA_P_2;date:2005-06-08T00:00:00:yyyy-MM-dd;D;RADOVIC_S6;F;NA;NA;2;P;;3500;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;700;NA;900;NA;NA;700;900;1200;900;NA;NA;1200;NA;NA;500;100;2000;NA;NA;100;0;0;NA;NA;NA;NA;NA;NA;2000;0;NA;NA;NA;100;300;NA;100;100;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;no_crop;na;na;organic_farming;na;na;na;annual;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-06-08_D_IT_Regional_monitoring_FVG_F_RADOVIC_S6_NA_NA_P_3;date:2005-06-08T00:00:00:yyyy-MM-dd;D;RADOVIC_S6;F;NA;NA;3;P;;6000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;2200;NA;500;NA;NA;600;500;300;500;NA;NA;300;NA;NA;100;100;5000;NA;NA;100;0;0;NA;NA;NA;NA;NA;NA;5000;0;NA;NA;NA;100;200;NA;100;1300;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;no_crop;na;na;organic_farming;na;na;na;annual;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-06-08_D_IT_Regional_monitoring_FVG_F_RADOVIC_S7_NA_NA_P_1;date:2005-06-08T00:00:00:yyyy-MM-dd;D;RADOVIC_S7;F;NA;NA;1;P;;5000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;700;NA;200;NA;NA;500;0;0;0;0;NA;0;NA;NA;NA;100;3500;NA;NA;100;0;0;NA;NA;NA;NA;NA;NA;3500;0;NA;NA;NA;100;200;NA;100;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;grape_vitis_vinifera;na;na;organic_farming;na;na;na;perennial;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;permanent_crops;;;;;
