ci;ei;mi;mi2-5;data_type;id_sample;ab_unident;id_level_1;id_level_2;id_level_3;nematods_si;ab_omnivores;ab_predators;country_code;ab_fungivores;ab_herbivores;main_prog_name;precision_date;ab_bacterivores;additional_name;id_sampling_point;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;total_nem_biomass;ab_Total_nematodes;date_sample_collection;nematode_family_richness;nematode_genera_richness
39.78;62.42;1.95;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-10_Data Microfauna;0;T11;NA;10;26.32;30;7;SE;82;261;bizon;D;246;;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-10;F;B;P;;626;NULL;;17
100;36.26;2.54;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-1_Data Microfauna;0;T12;NA;1;59.79;155;0;SE;37;413;bizon;D;192;;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-1;F;B;P;;797;NULL;;21
62.79;51.5;2.1;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-2_Data Microfauna;15;T12;NA;2;30.77;106;15;SE;317;770;bizon;D;543;;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-2;F;B;P;;1766;NULL;;25
92.31;42.98;2.29;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-3_Data Microfauna;0;T12;NA;3;42.14;83;0;SE;106;446;bizon;D;174;;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-3;F;B;P;;809;NULL;;23
61.29;52.1;1.98;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-4_Data Microfauna;0;T12;NA;4;14.42;43;0;SE;439;807;bizon;D;601;;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-4;F;B;P;;1890;NULL;;25
23.81;63.25;1.92;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-5_Data Microfauna;0;T12;NA;5;30.09;10;40;SE;99;646;bizon;D;567;;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-5;F;B;P;;1362;NULL;;22
62.79;44.08;2.44;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-6_Data Microfauna;0;T12;NA;6;57.79;101;107;SE;121;819;bizon;D;424;;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-6;F;B;P;;1573;NULL;;24
97.46;35.46;2.28;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-7_Data Microfauna;0;T12;NA;7;40.45;300;64;SE;536;1143;bizon;D;993;;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-7;F;B;P;;3037;NULL;;25
81.25;43.24;2.04;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-8_Data Microfauna;0;T12;NA;8;13.98;26;0;SE;289;406;bizon;D;316;;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-8;F;B;P;;1036;NULL;;21
45.21;51.17;2.14;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-9_Data Microfauna;0;T12;NA;9;39.85;95;8;SE;63;1067;bizon;D;575;;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-9;F;B;P;;1807;NULL;;25
46.67;58.02;2.06;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-10_Data Microfauna;0;T12;NA;10;34.75;56;14;SE;313;1240;bizon;D;519;;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-10;F;B;P;;2142;NULL;;25
21.17;72.49;1.76;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-1_Data Microfauna;0;K5;NA;1;21.51;26;0;SE;175;297;bizon;D;437;;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-1;F;B;P;;936;NULL;;20
55.56;38.89;1.95;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-2_Data Microfauna;0;K5;NA;2;3.88;11;0;SE;202;297;bizon;D;754;;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-2;F;B;P;;1264;NULL;;21
19.64;79.72;1.62;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-3_Data Microfauna;0;K5;NA;3;15.24;17;17;SE;570;311;bizon;D;1002;;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-3;F;B;P;;1918;NULL;;19
64.71;51.52;2.13;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-4_Data Microfauna;0;K5;NA;4;33.68;18;0;SE;146;530;bizon;D;283;;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-4;F;B;P;;977;NULL;;22
37.19;63.35;1.81;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-5_Data Microfauna;0;K5;NA;5;5.41;15;0;SE;602;463;bizon;D;679;;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-5;F;B;P;;1759;NULL;;21
20;75.4;1.75;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-6_Data Microfauna;0;K5;NA;6;28.32;96;0;SE;520;385;bizon;D;1212;;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-6;F;B;P;;2213;NULL;;24
54.29;54.26;2.22;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-7_Data Microfauna;0;K5;NA;7;46.24;47;24;SE;295;520;bizon;D;402;;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-7;F;B;P;;1287;NULL;;23
65.52;54.72;2.09;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-8_Data Microfauna;0;K5;NA;8;29.93;30;0;SE;142;202;bizon;D;112;;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-8;F;B;P;;487;NULL;;18
28.13;67.72;1.75;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-9_Data Microfauna;0;K5;NA;9;6.15;10;0;SE;196;324;bizon;D;471;;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-9;F;B;P;;1001;NULL;;21
25;74.07;1.92;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-10_Data Microfauna;0;K5;NA;10;45.37;32;0;SE;113;1079;bizon;D;451;;2018-08-21-D_SE_BiZon_F-K5_B-NA_P-10;F;B;P;;1675;NULL;;25
28.57;60.87;1.95;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-1_Data Microfauna;0;K6;NA;1;29.18;37;18;SE;129;975;bizon;D;865;;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-1;F;B;P;;2024;NULL;;20
19.23;79.19;1.61;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-2_Data Microfauna;0;K6;NA;2;12.77;60;0;SE;1598;633;bizon;D;2593;;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-2;F;B;P;;4884;NULL;;20
16.28;73.3;1.67;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-3_Data Microfauna;0;K6;NA;3;7.84;12;0;SE;167;512;bizon;D;631;;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-3;F;B;P;;1321;NULL;;20
56.36;44.72;1.96;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-4_Data Microfauna;0;K6;NA;4;8.42;11;0;SE;53;681;bizon;D;458;;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-4;F;B;P;;1203;NULL;;18
61.29;49.21;2.01;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-5_Data Microfauna;0;K6;NA;5;18.21;10;20;SE;40;699;bizon;D;319;;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-5;F;B;P;;1088;NULL;;27
25.52;72.86;1.7;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-6_Data Microfauna;0;K6;NA;6;6.9;0;16;SE;413;588;bizon;D;699;;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-6;F;B;P;;1716;NULL;;21
33.33;61.42;2.11;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-7_Data Microfauna;0;K6;NA;7;46.3;90;15;SE;75;840;bizon;D;585;;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-7;F;B;P;;1606;NULL;;22
25.27;65.47;1.91;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-8_Data Microfauna;0;K6;NA;8;31.67;64;16;SE;111;889;bizon;D;667;;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-8;F;B;P;;1746;NULL;;20
32.74;63.48;1.8;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-9_Data Microfauna;0;K6;NA;9;5.8;11;0;SE;265;454;bizon;D;520;;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-9;F;B;P;;1250;NULL;;19
92.31;42.98;2.11;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-10_Data Microfauna;0;K6;NA;10;21.37;39;0;SE;257;824;bizon;D;283;;2018-08-21-D_SE_BiZon_F-K6_B-NA_P-10;F;B;P;;1403;NULL;;18
29.7;68.46;1.8;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-1_Data Microfauna;0;K7;NA;1;16.25;49;0;SE;1026;317;bizon;D;1392;;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-1;F;B;P;;2784;NULL;;18
14.29;60.87;1.75;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-2_Data Microfauna;0;K7;NA;2;0;0;0;SE;7;138;bizon;D;72;;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-2;F;B;P;;217;NULL;;13
5.02;84.23;1.47;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-3_Data Microfauna;0;K7;NA;3;8.89;0;8;SE;65;154;bizon;D;666;;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-3;F;B;P;;893;NULL;;16
100;36;2.12;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-4_Data Microfauna;0;K7;NA;4;20;7;0;SE;37;360;bizon;D;51;;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-4;F;B;P;;455;NULL;;12
40.3;43.23;1.92;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-5_Data Microfauna;0;K7;NA;5;4.35;24;0;SE;632;340;bizon;D;1725;;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-5;F;B;P;;2721;NULL;;17
56.36;44;1.92;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-6_Data Microfauna;0;K7;NA;6;0;0;0;SE;144;523;bizon;D;462;;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-6;F;B;P;;1128;NULL;;17
64.71;33.01;2.1;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-7_Data Microfauna;0;K7;NA;7;24.38;34;34;SE;172;687;bizon;D;876;;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-7;F;B;P;;1804;NULL;;25
28.3;61.27;1.88;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-8_Data Microfauna;0;K7;NA;8;19.76;12;24;SE;302;326;bizon;D;677;;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-8;F;B;P;;1342;NULL;;21
57.14;63.64;1.9;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-9_Data Microfauna;0;K7;NA;9;12.33;0;0;SE;108;571;bizon;D;22;;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-9;F;B;P;;701;NULL;;11
30;41.24;1.95;NULL;Data Microfauna;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-10_Data Microfauna;0;K7;NA;10;12.31;45;0;SE;455;1955;bizon;D;2410;;2018-08-21-D_SE_BiZon_F-K7_B-NA_P-10;F;B;P;;4865;NULL;;19
28.06;66.83;1.84;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-1_Data Microfauna;0;R1;NA;1;20.92;63;21;SE;693;441;bizon;D;1155;;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-1;F;B;P;;2374;NULL;;20
29.41;62.96;1.96;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-2_Data Microfauna;0;R1;NA;2;32.43;0;60;SE;572;1475;bizon;D;1204;;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-2;F;B;P;;3312;NULL;;19
55.06;60.54;2.28;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-3_Data Microfauna;0;R1;NA;3;53.23;135;34;SE;573;792;bizon;D;320;;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-3;F;B;P;;1853;NULL;;20
18.48;78.73;1.67;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-4_Data Microfauna;39;R1;NA;4;24.75;117;0;SE;1253;627;bizon;D;2389;;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-4;F;B;P;;4425;NULL;;17
42.86;47.73;2.07;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-5_Data Microfauna;0;R1;NA;5;30.83;0;30;SE;177;2540;bizon;D;532;;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-5;F;B;P;;3279;NULL;;18
57.58;48.53;2.07;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-6_Data Microfauna;0;R1;NA;6;27.27;36;24;SE;154;582;bizon;D;463;;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-6;F;B;P;;1259;NULL;;22
3.64;88;1.51;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-7_Data Microfauna;0;R1;NA;7;40;21;42;SE;168;442;bizon;D;1578;;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-7;F;B;P;;2251;NULL;;20
31.58;64.41;2.17;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-8_Data Microfauna;0;R1;NA;8;54.35;137;0;SE;256;1042;bizon;D;530;;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-8;F;B;P;;1964;NULL;;21
7.17;89.43;1.72;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-9_Data Microfauna;0;R1;NA;9;68.27;192;21;SE;341;256;bizon;D;1406;;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-9;F;B;P;;2216;NULL;;19
80;25.32;2.11;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-10_Data Microfauna;0;R1;NA;10;21.85;30;0;SE;197;790;bizon;D;668;;2018-08-19-D_SE_BiZon_F-R1_B-NA_P-10;F;B;P;;1686;NULL;;19
27.08;74.42;1.65;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-1_Data Microfauna;0;R2;NA;1;0;0;0;SE;545;185;bizon;D;568;;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-1;F;B;P;;1298;NULL;;18
68.42;39.58;2.3;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-2_Data Microfauna;0;R2;NA;2;46.05;101;50;SE;168;1024;bizon;D;588;;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-2;F;B;P;;1931;NULL;;22
33.33;60;2.1;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-3_Data Microfauna;0;R2;NA;3;44.55;176;105;SE;457;1969;bizon;D;1476;;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-3;F;B;P;;4183;NULL;;23
31.53;64.16;1.99;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-4_Data Microfauna;0;R2;NA;4;37.37;153;115;SE;613;2454;bizon;D;1763;;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-4;F;B;P;;5099;NULL;;20
60;48.95;1.99;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-5_Data Microfauna;0;R2;NA;5;15.61;21;11;SE;276;489;bizon;D;414;;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-5;F;B;P;;1211;NULL;;21
81.25;45.07;2.13;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-6_Data Microfauna;0;R2;NA;6;26.76;33;16;SE;333;268;bizon;D;236;;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-6;F;B;P;;886;NULL;;21
54.84;54.39;2.31;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-7_Data Microfauna;0;R2;NA;7;53.47;84;8;SE;176;385;bizon;D;226;;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-7;F;B;P;;879;NULL;;26
21.84;75;2.02;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-8_Data Microfauna;0;R2;NA;8;56.06;78;13;SE;131;850;bizon;D;353;;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-8;F;B;P;;1426;NULL;;23
20;77.38;1.92;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-9_Data Microfauna;0;R2;NA;9;51.9;89;30;SE;266;2304;bizon;D;561;;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-9;F;B;P;;3250;NULL;;16
18.56;80.68;1.88;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-10_Data Microfauna;0;R2;NA;10;55.31;121;0;SE;295;415;bizon;D;576;;2018-08-19-D_SE_BiZon_F-R2_B-NA_P-10;F;B;P;;1406;NULL;;18
10.49;75.66;1.86;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-1_Data Microfauna;0;R3;NA;1;47.13;158;95;SE;442;1454;bizon;D;1991;;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-1;F;B;P;;4140;NULL;;18
15.6;62.64;1.98;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-2_Data Microfauna;0;R3;NA;2;41.57;43;172;SE;279;580;bizon;D;1547;;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-2;F;B;P;;2621;NULL;;27
22.08;52.38;2.2;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-3_Data Microfauna;0;R3;NA;3;50.44;275;31;SE;458;977;bizon;D;2138;;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-3;F;B;P;;3879;NULL;;27
13.25;81.37;2.06;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-4_Data Microfauna;0;R3;NA;4;68.85;134;33;SE;485;401;bizon;D;869;;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-4;F;B;P;;1921;NULL;;21
26.32;40;2.09;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-5_Data Microfauna;0;R3;NA;5;31.53;103;21;SE;123;841;bizon;D;1107;;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-5;F;B;P;;2194;NULL;;16
53.85;40;2.42;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-6_Data Microfauna;0;R3;NA;6;57.14;97;32;SE;585;3638;bizon;D;910;;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-6;F;B;P;;5262;NULL;;22
31.43;43.21;2.21;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-7_Data Microfauna;0;R3;NA;7;45.72;183;73;SE;110;2493;bizon;D;1540;;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-7;F;B;P;;4399;NULL;;23
31.91;39.5;2.08;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-8_Data Microfauna;0;R3;NA;8;29.58;177;29;SE;324;6629;bizon;D;1915;;2018-08-19-D_SE_BiZon_F-R3_B-NA_P-8;F;B;P;;9074;NULL;;28
