id_sampling_point;date_sample_collection;precision_date;country_code;main_prog_name;additional_name;level_1_scale_obs;id_level_1;level_2_scale_obs;id_level_2;level_3_scale_obs;id_level_3;id_sample;data_type;type_of_sample;fungi_soil_subsample_mass;fungi_sampl_method;fungi_sampling_methodo_iso;fungi_methodology_class;fungi_molecular_marker;fungi_sequencing_type;fungi_sequencing_platform;fungi_sequencing_length;fungi_taxon_annotation_plat_db;fungi_taxon_annotation_database_or_pipeline;fungi_picking_scope;fungi_amf_morphological_analysis;fungi_amf_morphological_analysis_method
2016-11-06_D_IT_SaintChristophe_MO_T_SC_AMF_R_Monospecies_NA_P_3;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_R_Monospecies;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_Morgex_MO_T_M_control_NA_P_1;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;control;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_Morgex_MO_T_M_control_NA_P_2;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;control;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_Morgex_MO_T_M_control_NA_P_3;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;control;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_Morgex_MO_T_M_AMF_M_Mix species_NA_P_1;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_M_Mix species;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_Morgex_MO_T_M_AMF_M_Mix species_NA_P_2;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_M_Mix species;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_Morgex_MO_T_M_AMF_M_Mix species_NA_P_3;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_M_Mix species;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_Morgex_MO_T_M_AMF_R_Monospecies_NA_P_1;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_R_Monospecies;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_Morgex_MO_T_M_AMF_R_Monospecies_NA_P_2;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_R_Monospecies;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_Morgex_MO_T_M_AMF_R_Monospecies_NA_P_3;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_R_Monospecies;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_SaintChristophe_MO_T_SC_control_NA_P_1;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;control;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_SaintChristophe_MO_T_SC_control_NA_P_2;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;control;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_SaintChristophe_MO_T_SC_control_NA_P_3;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;control;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_SaintChristophe_MO_T_SC_AMF_M_Mix species_NA_P_1;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_M_Mix species;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_SaintChristophe_MO_T_SC_AMF_M_Mix species_NA_P_2;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_M_Mix species;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_SaintChristophe_MO_T_SC_AMF_M_Mix species_NA_P_3;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_M_Mix species;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_SaintChristophe_MO_T_SC_AMF_R_Monospecies_NA_P_1;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_R_Monospecies;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_SaintChristophe_MO_T_SC_AMF_R_Monospecies_NA_P_2;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_R_Monospecies;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_SaintChristophe_MO_T_SC_AMF_R_Monospecies_NA_P_3;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_R_Monospecies;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_Morgex_MO_T_M_control_NA_P_1;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;control;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_Morgex_MO_T_M_control_NA_P_2;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;control;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_Morgex_MO_T_M_control_NA_P_3;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;control;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_Morgex_MO_T_M_AMF_M_Mix species_NA_P_1;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_M_Mix species;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_Morgex_MO_T_M_AMF_M_Mix species_NA_P_2;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_M_Mix species;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_Morgex_MO_T_M_AMF_M_Mix species_NA_P_3;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_M_Mix species;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_Morgex_MO_T_M_AMF_R_Monospecies_NA_P_1;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_R_Monospecies;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_Morgex_MO_T_M_AMF_R_Monospecies_NA_P_2;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_R_Monospecies;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2017-11-07_D_IT_Morgex_MO_T_M_AMF_R_Monospecies_NA_P_3;date:2017-11-07T00:00:00:yyyy-MM-dd;D;IT;morgex_mo;SaffronAlp cultivated soil Project;T;M;AMF_R_Monospecies;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2018-01-01_Y_FR_LUCAS_F_508_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;508;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_543_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;543;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_550_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;550;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_551_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;551;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_553_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;553;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_617_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;617;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_626_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;626;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_640_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;640;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_642_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;642;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_643_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;643;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_663_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;663;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_673_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;673;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_675_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;675;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_683_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;683;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_699_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;699;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_703_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;703;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_710_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;710;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_713_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;713;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_735_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;735;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_764_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;764;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_786_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;786;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_848_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;848;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_FR_LUCAS_F_883_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;FR;lucas;;F;883;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_HU_LUCAS_F_148_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;HU;lucas;;F;148;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_HU_LUCAS_F_168_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;HU;lucas;;F;168;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_IT_LUCAS_F_344_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;IT;lucas;;F;344;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_IT_LUCAS_F_346_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;IT;lucas;;F;346;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_IT_LUCAS_F_361_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;IT;lucas;;F;361;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_IT_LUCAS_F_385_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;IT;lucas;;F;385;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_IT_LUCAS_F_398_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;IT;lucas;;F;398;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_IT_LUCAS_F_484_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;IT;lucas;;F;484;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_IT_LUCAS_F_513_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;IT;lucas;;F;513;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_IT_LUCAS_F_534_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;IT;lucas;;F;534;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_IT_LUCAS_F_541_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;IT;lucas;;F;541;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_LT_LUCAS_F_780_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;LT;lucas;;F;780;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_LT_LUCAS_F_793_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;LT;lucas;;F;793;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_LV_LUCAS_F_130_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;LV;lucas;;F;130;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_NL_LUCAS_F_235_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;NL;lucas;;F;235;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_NL_LUCAS_F_238_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;NL;lucas;;F;238;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_NL_LUCAS_F_244_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;NL;lucas;;F;244;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_NL_LUCAS_F_256_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;NL;lucas;;F;256;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_151_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;151;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
2018-01-01_Y_PL_LUCAS_F_191_NA_NA_NA_NA;date:2018-01-01T00:00:00:yyyy-MM-dd;Y;PL;lucas;;F;191;NA;NA;NA;NA;;;composite;;soil_core;10.1038/s41467-023-37937-4;sequencing;ITS1;target;pacbio;full_length;unite;UNITE v9;qiime2_vsearch;OTU;No
