id_sampling_point;date_sample_collect;precision_date;country_code;main_prog_name;additional_name;level_1_scale_obs;id_level_1;level_2_scale_obs;id_level_2;level_3_scale_obs;id_level_3;id_sample;data_type;date_start_experiment;date_end_experiment;longitude;latitude;altitude;study_landuse;experimental_type;total_experiment_duration;experiment_duration_mean;mean_temperature_of_the_day;source_of_climate_data;year_precipitation;air_humidity
2020-10-20_D_IT_SOIL4LIFE_F_PED_4_NA_NA_P_3;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_4;NA;NA;P;3;;;;;9.112384;45.20732;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_1_NA_NA_P_1;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_1;NA;NA;P;1;;;;;9.108878;45.290104;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_1_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_1;NA;NA;P;2;;;;;9.108878;45.290104;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_1_NA_NA_P_3;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_1;NA;NA;P;3;;;;;9.108878;45.290104;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_NEO_2_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_2;NA;NA;P;1;;;;;9.092777;45.30125;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_NEO_2_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_2;NA;NA;P;2;;;;;9.092777;45.30125;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_NEO_2_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_2;NA;NA;P;3;;;;;9.092777;45.30125;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_3_NA_NA_P_1;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_3;NA;NA;P;1;;;;;9.102448;45.29515;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_3_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_3;NA;NA;P;2;;;;;9.102448;45.29515;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_3_NA_NA_P_3;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_3;NA;NA;P;3;;;;;9.102448;45.29515;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_4_NA_NA_P_1;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_4;NA;NA;P;1;;;;;0.0;0.0;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_4_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_4;NA;NA;P;2;;;;;0.0;0.0;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_NEO_4_NA_NA_P_3;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;NEO_4;NA;NA;P;3;;;;;0.0;0.0;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_1_NA_NA_P_1;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_1;NA;NA;P;1;;;;;9.21874;45.235996;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_1_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_1;NA;NA;P;2;;;;;9.21874;45.235996;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_1_NA_NA_P_3;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_1;NA;NA;P;3;;;;;9.21874;45.235996;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_2_NA_NA_P_1;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_2;NA;NA;P;1;;;;;9.218073;45.234863;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_2_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_2;NA;NA;P;2;;;;;9.218073;45.234863;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_2_NA_NA_P_3;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_2;NA;NA;P;3;;;;;9.218073;45.234863;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_3_NA_NA_P_1;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_3;NA;NA;P;1;;;;;9.21772;45.232494;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_3_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_3;NA;NA;P;2;;;;;9.21772;45.232494;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_3_NA_NA_P_3;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_3;NA;NA;P;3;;;;;9.21772;45.232494;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_4_NA_NA_P_1;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_4;NA;NA;P;1;;;;;9.212821;45.234287;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_4_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_4;NA;NA;P;2;;;;;9.212821;45.234287;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_COL_4_NA_NA_P_3;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;COL_4;NA;NA;P;3;;;;;9.212821;45.234287;;arable_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_1;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_1;NA;NA;P;1;;;;;8.95359;45.41799;;grass_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_2;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_1;NA;NA;P;2;;;;;8.95359;45.41799;;grass_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_3;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_1;NA;NA;P;3;;;;;8.95359;45.41799;;grass_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_1;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_2;NA;NA;P;1;;;;;8.954813;45.416405;;arable_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_2;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_2;NA;NA;P;2;;;;;8.954813;45.416405;;arable_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_3;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_2;NA;NA;P;3;;;;;8.954813;45.416405;;arable_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_1;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_3;NA;NA;P;1;;;;;8.955773;45.41894;;arable_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_2;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_3;NA;NA;P;2;;;;;8.955773;45.41894;;arable_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_3;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_3;NA;NA;P;3;;;;;8.955773;45.41894;;arable_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_1;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;1;;;;;8.948499;45.414932;;arable_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_2;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;2;;;;;8.948499;45.414932;;arable_land;;;;;;;
2021-04-24_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_3;date:2021-04-24T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;3;;;;;8.948499;45.414932;;arable_land;;;;;;;
2021-04-17_D_IT_SOIL4LIFE_F_PED_1_NA_NA_P_1;date:2021-04-17T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_1;NA;NA;P;1;;;;;9.12729;45.20497;;arable_land;;;;;;;
