id_sampling_point;date_sample_collect;precision_date;id_level_1;id_level_2;id_level_3;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;country_code;main_prog_name;additional_name;data_type;id_sample;microfauna_extraction_method;microfauna_sampling_methodology_iso;microfauna_sampling_observation_method;asmicrofauna_sampled_area_for_each_subsample
2016-04-14_M_BE_Herren2020_T_C1_112_200_Block_1;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C1_112_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C1_112_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C0_113_0_Block_1;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C0_113_0;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C0_113_0_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C1_114_0_Block_2;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C1_114_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C1_114_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C1_243_0_Block_2;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C1_243_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C1_243_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C0_244_0_Block_2;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C0_244_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C0_244_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C1_245_200_Block_2;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C1_245_200;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C1_245_200_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C0_246_200_Block_3;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C0_246_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C0_246_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C1_311_0_Block_3;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C1_311_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C1_311_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C0_312_0_Block_3;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C0_312_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C0_312_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C1_313_200_Block_3;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C1_313_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C1_313_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C0_314_200_Block_1;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C0_314_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C0_314_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C0_111_200_Block_1;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C0_111_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C0_111_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C1_112_200_Block_1;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C1_112_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C1_112_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C0_113_0_Block_1;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C0_113_0;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C0_113_0_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C1_114_0_Block_2;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C1_114_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C1_114_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C1_243_0_Block_2;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C1_243_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C1_243_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C0_244_0_Block_2;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C0_244_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C0_244_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C1_245_200_Block_2;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C1_245_200;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C1_245_200_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C0_246_200_Block_3;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C0_246_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C0_246_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-06-14_M_BE_Herren2020_T_C1_311_0_Block_3;date:2016-06-14T00:00:00:yyyy-MM-dd;M;C1_311_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-06-14_M_BE_Herren2020_T_C1_311_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C0_312_0_Block_3;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C0_312_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C0_312_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C1_313_200_Block_3;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C1_313_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C1_313_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C0_314_200_Block_1;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C0_314_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C0_314_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C0_111_200_Block_1;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C0_111_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C0_111_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C1_112_200_Block_1;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C1_112_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C1_112_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C0_113_0_Block_1;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C0_113_0;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C0_113_0_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C1_114_0_Block_2;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C1_114_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C1_114_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C1_243_0_Block_2;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C1_243_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C1_243_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C0_244_0_Block_2;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C0_244_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C0_244_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C1_245_200_Block_2;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C1_245_200;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C1_245_200_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C0_246_200_Block_3;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C0_246_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C0_246_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-11-14_M_BE_Herren2020_T_C1_311_0_Block_3;date:2016-11-14T00:00:00:yyyy-MM-dd;M;C1_311_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-11-14_M_BE_Herren2020_T_C1_311_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2017-04-14_M_BE_Herren2020_T_C0_312_0_Block_3;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C0_312_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C0_312_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2017-04-14_M_BE_Herren2020_T_C1_313_200_Block_3;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C1_313_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C1_313_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2017-04-14_M_BE_Herren2020_T_C0_314_200_Block_1;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C0_314_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C0_314_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2017-04-14_M_BE_Herren2020_T_C0_111_200_Block_1;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C0_111_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C0_111_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2017-04-14_M_BE_Herren2020_T_C1_112_200_Block_1;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C1_112_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C1_112_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2017-04-14_M_BE_Herren2020_T_C0_113_0_Block_1;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C0_113_0;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C0_113_0_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2021-03-14_M_IE_Ikoyetal2023_T_29;date:2021-03-14T00:00:00:yyyy-MM-dd;M;29;NA;NA;T;no;;IE;ikoyetal2023;;;;Elutriator;;soil corer;
2017-04-14_M_BE_Herren2020_T_C1_114_0_Block_2;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C1_114_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C1_114_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2017-04-14_M_BE_Herren2020_T_C1_243_0_Block_2;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C1_243_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C1_243_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2016-03-14_Y_CH_Bongiorno_F_C02_block_1_no_NA;date:2016-03-14T00:00:00:yyyy-MM-dd;Y;C02;1;NA;F;block;no;CH;bongiorno;iSQAPER;;;Elutriator;;;
2016-03-14_Y_CH_Bongiorno_F_C07_block_1_no_NA;date:2016-03-14T00:00:00:yyyy-MM-dd;Y;C07;1;NA;F;block;no;CH;bongiorno;iSQAPER;;;Elutriator;;;
2017-04-14_M_BE_Herren2020_T_C0_244_0_Block_2;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C0_244_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C0_244_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2017-04-14_M_BE_Herren2020_T_C1_245_200_Block_2;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C1_245_200;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C1_245_200_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2017-04-14_M_BE_Herren2020_T_C0_246_200_Block_3;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C0_246_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C0_246_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2017-04-14_M_BE_Herren2020_T_C1_311_0_Block_3;date:2017-04-14T00:00:00:yyyy-MM-dd;M;C1_311_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2017-04-14_M_BE_Herren2020_T_C1_311_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T10_B-NA_P-1;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T10;NA;1;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-1_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T10_B-NA_P-2;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T10;NA;2;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-2_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T10_B-NA_P-3;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T10;NA;3;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-3_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T10_B-NA_P-4;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T10;NA;4;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-4_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T10_B-NA_P-5;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T10;NA;5;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-5_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T10_B-NA_P-6;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T10;NA;6;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-6_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T10_B-NA_P-7;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T10;NA;7;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-7_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T10_B-NA_P-8;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T10;NA;8;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-8_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T10_B-NA_P-9;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T10;NA;9;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-9_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T10_B-NA_P-10;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T10;NA;10;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-10_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T11_B-NA_P-1;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T11;NA;1;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-1_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T11_B-NA_P-2;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T11;NA;2;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-2_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T11_B-NA_P-3;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T11;NA;3;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-3_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T11_B-NA_P-4;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T11;NA;4;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-4_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T11_B-NA_P-5;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T11;NA;5;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-5_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T11_B-NA_P-6;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T11;NA;6;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-6_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T11_B-NA_P-7;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T11;NA;7;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-7_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T11_B-NA_P-8;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T11;NA;8;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-8_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T11_B-NA_P-9;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T11;NA;9;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-9_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T11_B-NA_P-10;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T11;NA;10;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-10_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T12_B-NA_P-1;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T12;NA;1;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-1_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T12_B-NA_P-2;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T12;NA;2;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-2_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T12_B-NA_P-3;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T12;NA;3;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-3_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T12_B-NA_P-4;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T12;NA;4;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-4_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T12_B-NA_P-5;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T12;NA;5;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-5_Metadata Microfauna;Baermann funnel;;corer;
2018-08-19-D_SE_BiZon_F-T12_B-NA_P-6;date:2018-08-19T00:00:00:yyyy-MM-dd;D;T12;NA;6;F;B;P;SE;bizon;;Metadata Microfauna;2018-08-19-D_SE_BiZon_F-T12_B-NA_P-6_Metadata Microfauna;Baermann funnel;;corer;
